category,trait,trait_value,trait_val_clean,spp_gp,sheet,cat_vals
r (reproductive traits),max age,>100 years,>100years,Posidonia australis,plants_algae,NA
r (reproductive traits),feeding larva (post-hatching metamorphosis),yes (photosyntehtic),yesphotosyntehtic,Posidonia australis,plants_algae,NA
r (reproductive traits),global population size,>100k,>100k,Posidonia australis,plants_algae,NA
specialisation,light dependence,yes (photosyntehtic),yesphotosyntehtic,Posidonia australis,plants_algae,NA
specialisation,air-sea interface,yes - although not sure what this really means - propagules float,yesalthoughnotsurewhatthisreallymeanspropagulesfloat,Posidonia australis,plants_algae,NA
biophysical traits,adult body mass/body size,50 - 999mm,50999mm,Posidonia australis,plants_algae,NA
biophysical traits,biomineral,"Other lignin- cellulose (unique to the mangroves, seagrass and saltmarsh)",otherlignincelluloseuniquetothemangrovesseagrassandsaltmarsh,Posidonia australis,plants_algae,NA
biophysical traits,extreme pressure wave sensitive structures,yes,yes,Posidonia australis,plants_algae,NA
biophysical traits,respiration structures,no,no,Posidonia australis,plants_algae,NA
r (reproductive traits),reproductive strategy,heteromorphic alternation of generations,heteromorphicalternationofgenerations,Macrocystis,plants_algae,NA
r (reproductive traits),fecundity,"1-10 for sporophyte, < 1 for gametophyte",110forsporophyte<1forgametophyte,Macrocystis,plants_algae,NA
r (reproductive traits),lifetime # reproductive opportunities,"100+ for spropphytes, 1 for gametophytes",100forspropphytes1forgametophytes,Macrocystis,plants_algae,NA
r (reproductive traits),age to 1st reproduction/generation time,"6-12 months for sporophyte, 12-15 days for gametophyte",612monthsforsporophyte1215daysforgametophyte,Macrocystis,plants_algae,NA
r (reproductive traits),feeding larva (post-hatching metamorphosis),yes (photosynthetic spores and eggs),yesphotosyntheticsporesandeggs,Macrocystis,plants_algae,NA
r (reproductive traits),global population size,>100K,>100k,Macrocystis,plants_algae,NA
physiological tolerance breadths,salinity,"narrow, average marine",narrowaveragemarine,Macrocystis,plants_algae,NA
physiological tolerance breadths,dissolved oxygen,broad,broad,Macrocystis,plants_algae,NA
physiological tolerance breadths,sensitivity to wave energy (physical forcing),easily dislodged by large waves,easilydislodgedbylargewaves,Macrocystis,plants_algae,NA
specialisation,light dependence,yes (photosyntehtic),yesphotosyntehtic,Macrocystis,plants_algae,NA
specialisation,air-sea interface,"yes, canopy at sea surface",yescanopyatseasurface,Macrocystis,plants_algae,NA
specialisation,extreme diet specialization,no,no,Macrocystis,plants_algae,NA
breeding/nesting range/number of spawning aggregations (fish),number of sites,NA - entire distribution,naentiredistribution,Macrocystis,plants_algae,NA
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,possibly,possibly,Macrocystis,plants_algae,NA
foraging range,sub-population dependence on particular sites,possible local adaptation,possiblelocaladaptation,Macrocystis,plants_algae,NA
spatial scale of species,eoo (range),<100 km2,<100km2,Macrocystis,plants_algae,NA
biophysical traits,adult body mass/body size,very large,verylarge,Macrocystis,plants_algae,NA
biophysical traits,biomineral,no,no,Macrocystis,plants_algae,NA
biophysical traits,extreme pressure wave sensitive structures,pneumatocyst (gas bladders),pneumatocystgasbladders,Macrocystis,plants_algae,NA
biophysical traits,respiration structures,no,no,Macrocystis,plants_algae,NA
r (reproductive traits),reproductive strategy,both sexual and asexual,bothsexualandasexual,Porolithon,plants_algae,NA
r (reproductive traits),fecundity,tetraspores(asexual)  >1000s,tetrasporesasexual>1000s,Porolithon,plants_algae,NA
r (reproductive traits),max age,5-10 yrs but could be than 10,510yrsbutcouldbethan10,Porolithon,plants_algae,NA
r (reproductive traits),feeding larva (post-hatching metamorphosis),yes (photosynthetic spores and eggs),yesphotosyntheticsporesandeggs,Porolithon,plants_algae,NA
r (reproductive traits),are there sub-populations?,"likely, unknown",likelyunknown,Porolithon,plants_algae,NA
r (reproductive traits),can the sex ratio be altered by a stressor?,unknown,unknown,Porolithon,plants_algae,NA
physiological tolerance breadths,salinity,"euryhaline, narrow",euryhalinenarrow,Porolithon,plants_algae,NA
physiological tolerance breadths,sensitivity to wave energy (physical forcing),"no sensitive, thrives in high wave action --reef crest",nosensitivethrivesinhighwaveactionreefcrest,Porolithon,plants_algae,NA
specialisation,light dependence,yes (photosyntehtic),yesphotosyntehtic,Porolithon,plants_algae,NA
specialisation,air-sea interface,"no sensitive, thrives in high wave action --reef crest",nosensitivethrivesinhighwaveactionreefcrest,Porolithon,plants_algae,NA
specialisation,within-stage dependent habitats + condition,coral reefs,coralreefs,Porolithon,plants_algae,NA
specialisation,extreme diet specialization,no,no,Porolithon,plants_algae,NA
specialisation,dependent interspecific interactions,examples of strong interactions but not clear if universal or needed for survival,examplesofstronginteractionsbutnotclearifuniversalorneededforsurvival,Porolithon,plants_algae,NA
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,possibly,possibly,Porolithon,plants_algae,NA
spatial scale of species,eoo (range),pantropical,pantropical,Porolithon,plants_algae,NA
biophysical traits,calcium carbonate structure location,cell walls deposit calcium carbonate heavily,cellwallsdepositcalciumcarbonateheavily,Porolithon,plants_algae,NA
biophysical traits,calcium carbonate structure stages,calcification after germination and through adulthood,calcificationaftergerminationandthroughadulthood,Porolithon,plants_algae,NA
biophysical traits,biomineral,hi Mg calcite,himgcalcite,Porolithon,plants_algae,NA
biophysical traits,extreme pressure wave sensitive structures,no sensitivity,nosensitivity,Porolithon,plants_algae,NA
biophysical traits,respiration structures,no,no,Porolithon,plants_algae,NA
movement,planktonic larval duration (pld),days-weeks,daysweeks,Nereididae,polychaetes,NA
r (reproductive traits),lifetime # reproductive opportunities,"1, 2-10",1210,Nereididae,polychaetes,NA
r (reproductive traits),parental investment,"spawner, brooder",spawnerbrooder,Nereididae,polychaetes,NA
r (reproductive traits),global population size,Species restricted distributions,speciesrestricteddistributions,Nereididae,polychaetes,NA
breeding/nesting range/number of spawning aggregations (fish),number of sites,some mass spawning,somemassspawning,Nereididae,polychaetes,NA
movement,planktonic larval duration (pld),days-weeks,daysweeks,Sabellidae,polychaetes,NA
r (reproductive traits),fecundity,"5-10, 1,000-10,000",510100010000,Sabellidae,polychaetes,NA
r (reproductive traits),lifetime # reproductive opportunities,"1, 2-10",1210,Sabellidae,polychaetes,NA
r (reproductive traits),age to 1st reproduction/generation time,>1yr,>1yr,Sabellidae,polychaetes,NA
r (reproductive traits),parental investment,"spawner, brooder",spawnerbrooder,Sabellidae,polychaetes,NA
r (reproductive traits),global population size,Species restricted distributions,speciesrestricteddistributions,Sabellidae,polychaetes,NA
breeding/nesting range/number of spawning aggregations (fish),number of sites,some mass spawning,somemassspawning,Sabellidae,polychaetes,NA
biophysical traits,respiration structures,filter feeder,filterfeeder,Sabellidae,polychaetes,NA
movement,planktonic larval duration (pld),days-weeks,daysweeks,Nephtyidae,polychaetes,NA
r (reproductive traits),lifetime # reproductive opportunities,"1, 2-10",1210,Nephtyidae,polychaetes,NA
r (reproductive traits),parental investment,"spawner, brooder",spawnerbrooder,Nephtyidae,polychaetes,NA
r (reproductive traits),global population size,Species restricted distributions,speciesrestricteddistributions,Nephtyidae,polychaetes,NA
breeding/nesting range/number of spawning aggregations (fish),number of sites,co-ordinated spawning,coordinatedspawning,Nephtyidae,polychaetes,NA
movement,planktonic larval duration (pld),days-weeks,daysweeks,Terebellidae,polychaetes,NA
r (reproductive traits),lifetime # reproductive opportunities,"1, 2-10",1210,Terebellidae,polychaetes,NA
r (reproductive traits),feeding larva (post-hatching metamorphosis),"feeding, non-feeding",feedingnonfeeding,Terebellidae,polychaetes,NA
r (reproductive traits),global population size,Species restricted distributions,speciesrestricteddistributions,Terebellidae,polychaetes,NA
breeding/nesting range/number of spawning aggregations (fish),number of sites,co-ordinated spawning,coordinatedspawning,Terebellidae,polychaetes,NA
r (reproductive traits),parental investment,egg care,eggcare,Amphiprion akindynos,reef_other_fish,NA
r (reproductive traits),global population size,> 100K,>100k,Amphiprion akindynos,reef_other_fish,NA
r (reproductive traits),can the sex ratio be altered by a stressor?,yes - if female dies a male takes over and becomes female,yesiffemalediesamaletakesoverandbecomesfemale,Amphiprion akindynos,reef_other_fish,NA
physiological tolerance breadths,dissolved oxygen,narrow tolerance range,narrowtolerancerange,Amphiprion akindynos,reef_other_fish,NA
specialisation,air-sea interface,yes (feeding),yesfeeding,Amphiprion akindynos,reef_other_fish,NA
specialisation,within-stage dependent habitats + condition,coral reef - anemone (26 spp.),coralreefanemone26spp,Amphiprion akindynos,reef_other_fish,NA
specialisation,across-stage dependent habitats + condition,coral reef - anemone (26 spp.),coralreefanemone26spp,Amphiprion akindynos,reef_other_fish,NA
biophysical traits,only tl presented,50 to 999,50to999,Amphiprion akindynos,reef_other_fish,NA
biophysical traits,calcium carbonate structure location,Internal:otoliths,internalotoliths,Amphiprion akindynos,reef_other_fish,NA
biophysical traits,communication requirement (sound),n0,n0,Amphiprion akindynos,reef_other_fish,NA
r (reproductive traits),fecundity,100 to 1000,100to1000,Acanthochromis polyacanthus,reef_other_fish,NA
r (reproductive traits),lifetime # reproductive opportunities,11 to 25,11to25,Acanthochromis polyacanthus,reef_other_fish,NA
r (reproductive traits),max age,10 to 20,10to20,Acanthochromis polyacanthus,reef_other_fish,NA
r (reproductive traits),parental investment,egg care,eggcare,Acanthochromis polyacanthus,reef_other_fish,NA
r (reproductive traits),post-birth/hatching maternal dependence,week to two months,weektotwomonths,Acanthochromis polyacanthus,reef_other_fish,NA
r (reproductive traits),feeding larva (post-hatching metamorphosis),hatch as small feeding juveniles,hatchassmallfeedingjuveniles,Acanthochromis polyacanthus,reef_other_fish,NA
r (reproductive traits),can the sex ratio be altered by a stressor?,unknown,unknown,Acanthochromis polyacanthus,reef_other_fish,NA
physiological tolerance breadths,dissolved oxygen,unknown,unknown,Acanthochromis polyacanthus,reef_other_fish,NA
physiological tolerance breadths,sensitivity to wave energy (physical forcing),unknown,unknown,Acanthochromis polyacanthus,reef_other_fish,NA
specialisation,light dependence,unknown,unknown,Acanthochromis polyacanthus,reef_other_fish,NA
specialisation,within-stage dependent habitats + condition,coral reefs all stages,coralreefsallstages,Acanthochromis polyacanthus,reef_other_fish,NA
specialisation,across-stage dependent habitats + condition,coral reefs all stages,coralreefsallstages,Acanthochromis polyacanthus,reef_other_fish,NA
biophysical traits,only tl presented,200: 50 to 999,20050to999,Acanthochromis polyacanthus,reef_other_fish,NA
biophysical traits,calcium carbonate structure location,Internal:otoliths,internalotoliths,Acanthochromis polyacanthus,reef_other_fish,NA
r (reproductive traits),age to 1st reproduction/generation time,1 to 5,1to5,Parma microlepis,reef_other_fish,NA
r (reproductive traits),max age,48:20 to 100,4820to100,Parma microlepis,reef_other_fish,NA
r (reproductive traits),parental investment,egg care,eggcare,Parma microlepis,reef_other_fish,NA
r (reproductive traits),can the sex ratio be altered by a stressor?,unknown,unknown,Parma microlepis,reef_other_fish,NA
physiological tolerance breadths,dissolved oxygen,unknown,unknown,Parma microlepis,reef_other_fish,NA
specialisation,light dependence,unknown,unknown,Parma microlepis,reef_other_fish,NA
specialisation,within-stage dependent habitats + condition,rocky reef - barrens habitat,rockyreefbarrenshabitat,Parma microlepis,reef_other_fish,NA
specialisation,across-stage dependent habitats + condition,rocky reef - barrens habitat,rockyreefbarrenshabitat,Parma microlepis,reef_other_fish,NA
spatial scale of species,eoo (range),100 to 4999,100to4999,Parma microlepis,reef_other_fish,NA
biophysical traits,only tl presented,200: 50 to 999,20050to999,Parma microlepis,reef_other_fish,NA
biophysical traits,calcium carbonate structure location,Internal:otoliths,internalotoliths,Parma microlepis,reef_other_fish,NA
r (reproductive traits),lifetime # reproductive opportunities,2 to 10,2to10,Osterhinchus doederleini,reef_other_fish,NA
r (reproductive traits),age to 1st reproduction/generation time,< 1,<1,Osterhinchus doederleini,reef_other_fish,NA
r (reproductive traits),max age,1 to 5,1to5,Osterhinchus doederleini,reef_other_fish,NA
r (reproductive traits),parental investment,egg care - mouth brooder,eggcaremouthbrooder,Osterhinchus doederleini,reef_other_fish,NA
physiological tolerance breadths,dissolved oxygen,unknown,unknown,Osterhinchus doederleini,reef_other_fish,NA
physiological tolerance breadths,sensitivity to wave energy (physical forcing),unknown,unknown,Osterhinchus doederleini,reef_other_fish,NA
specialisation,light dependence,yes: sun  compass,yessuncompass,Osterhinchus doederleini,reef_other_fish,NA
specialisation,within-stage dependent habitats + condition,coral reef/live coral caves,coralreeflivecoralcaves,Osterhinchus doederleini,reef_other_fish,NA
